지역,매장명,현황,주소,브랜드명
경남 거제시,거제휴게소점,영업중,경상남도 거제시 장목면 거가대로 1068 .,할리스
부산 강서구,가덕휴게소점,영업중,부산광역시 강서구 거가대로 2571 (천성동) .,할리스
경기 성남시 분당구,판교역점,영업중,"경기도 성남시 분당구 판교역로192번길 12 (삼평동, 판교미래에셋센터) 1층",할리스
서울 노원구,태릉입구역점,영업중,"서울특별시 노원구 화랑로 453 (공릉동, 그린힐) 1층",할리스
경남 창원시 마산합포구,마산저도점,영업중,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,할리스
충북 옥천군,충북옥천점,영업중,충청북도 옥천군 옥천읍 송신길 172 .,할리스
경기 화성시,화성조암점,영업중,경기도 화성시 우정읍 쌍봉로 76 103호,할리스
충북 청주시 서원구,청주성화점,영업중,충청북도 청주시 서원구 신성화로 39 (성화동) 1~2층,할리스
경기 구리시,모다아울렛구리점,영업중,"경기도 구리시 경춘북로 230 (갈매동, 모다아울렛) .",할리스
서울 구로구,구로디지털점,영업중,"서울특별시 구로구 디지털로31길 12 1층 105,106호",할리스
경기 안성시,(상)안성맞춤휴게소점,영업중,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,할리스
전남 나주시,나주빛가람혁신도시점,영업중,전라남도 나주시 배멧3길 5-4 (빛가람동) .,할리스
서울 종로구,청계천점,영업중,"서울특별시 종로구 청계천로 81 1,2,3,4층",할리스
